2023-06-01,22:30:00,Italia,disco,120,Un disco volante luminoso sopra la città
2023-06-02,23:15:00,USA,sfera,180,Luci sferiche che si muovono rapidamente nel cielo
2023-06-03,20:45:00,Francia,luce,600,Fasci di luce intensa che attraversano il cielo
2023-06-04,21:30:00,USA,disco,90,Disco luminoso che segue un aereo
2023-06-05,22:00:00,Canada,triangolo,300,Triangolo luminoso fermo nel cielo
2023-06-06,23:00:00,Messico,sfera,150,Sfere di luce che cambiano colore
2023-06-07,19:45:00,Germania,cilindro,240,Cilindro metallico che si muove lentamente
2023-06-08,20:30:00,Brasile,luce,420,Luce intensa che si muove in modo irregolare
2023-06-09,21:45:00,Giappone,disco,180,Disco che emette luci multicolori
2023-06-10,22:30:00,Italia,sfera,200,Sfere luminose in formazione
2023-06-11,23:15:00,USA,luce,500,Luce che si divide in più sfere più piccole
2023-06-12,20:45:00,Russia,disco,360,Disco volante che emette suoni bassi
2023-06-13,21:30:00,USA,triangolo,480,Triangolo che si muove a grande velocità
